drug_name,num_prescriber,total_cost
CHLORHEXIDINE GLUCONATE,32197,6565622
KADIAN,287,6534452
FYCOMPA,393,6502961
ALREX,1072,6502059
UCERIS,284,6445390
THIOLA,69,6405560
BISOPROLOL-HYDROCHLOROTHIAZIDE,21483,6392409
LITHIUM CARBONATE ER,11925,6336987
PENTOXIFYLLINE,11318,6315953
APIDRA,851,6312779
LITHIUM CARBONATE,22312,6310090
GLATOPA,92,6285613
DUTASTERIDE,1565,6273078
KORLYM,20,6218343
NILANDRON,66,6196153
INVEGA TRINZA,74,6167203
VERAPAMIL HCL,12093,6136280
HYDROXYZINE PAMOATE,16445,6112555
FLUDROCORTISONE ACETATE,13984,6085916
OLOPATADINE HCL,1274,6079111
PIROXICAM,3572,6078162
BEPREVE,710,6031964
TIAGABINE HCL,896,5993684
ELIDEL,724,5958920
ZYPREXA RELPREVV,162,5956766
SOMATULINE DEPOT,78,5923986
LOPERAMIDE,12631,5922553
MERCAPTOPURINE,2515,5904384
EMEND,392,5887480
BROMOCRIPTINE MESYLATE,1599,5872546
ZELBORAF,56,5821733
NEURONTIN,807,5793583
ZYFLO CR,128,5780926
EDARBYCLOR,1541,5779585
SYMLINPEN 120,276,5760760
DEXAMETHASONE,15708,5714974
MOMETASONE FUROATE,9334,5695139
PROCTOSOL-HC,4985,5670502
THIOTHIXENE,3818,5647737
DICLOFENAC SODIUM-MISOPROSTOL,2253,5647010
ZAFIRLUKAST,3478,5641478
JUBLIA,541,5635213
BROMFENAC SODIUM,1096,5634707
EVISTA,1555,5633816
LEVETIRACETAM ER,2878,5590992
ZYKADIA,40,5563842
BROVANA,656,5536312
EDARBI,1599,5490386
PROZAC,655,5484818
HALOPERIDOL DECANOATE 100,2362,5456037
FERRIPROX,32,5430503
RIZATRIPTAN,7562,5415774
DEMECLOCYCLINE HCL,969,5391068
BACITRACIN,2363,5388748
RISPERDAL,502,5378757
RILUZOLE,591,5366341
MOXIFLOXACIN HCL,2450,5365105
ADACEL TDAP,3211,5328244
TRIFLUOPERAZINE HCL,3800,5270624
RAPAMUNE,238,5268113
EVOTAZ,176,5249842
ABSTRAL,24,5244201
SELEGILINE HCL,1910,5174814
TAZTIA XT,8558,5165431
ZEGERID,253,5165255
KETOPROFEN,574,5127192
BETAMETHASONE VALERATE,4555,5112312
DOXERCALCIFEROL,359,5089426
MYALEPT,6,5023543
SILVER SULFADIAZINE,7759,5018966
ZORTRESS,109,4967882
METHIMAZOLE,13946,4967570
VALCHLOR,43,4955399
INDAPAMIDE,12246,4916846
TASMAR,37,4879380
AMBIEN,818,4858837
DARAPRIM,46,4853473
CAPRELSA,31,4842956
LOTRONEX,148,4831286
FENTANYL CITRATE,161,4807000
GLYCOPYRROLATE,4406,4785191
EYLEA,66,4779047
OXAPROZIN,1716,4770161
CLORAZEPATE DIPOTASSIUM,9621,4761198
ISTALOL,894,4759697
BENLYSTA,87,4750277
FLUOCINOLONE ACETONIDE OIL,1234,4721277
NYAMYC,5164,4706179
MEDROXYPROGESTERONE ACETATE,11987,4671156
FINACEA,990,4654072
PALIPERIDONE ER,356,4631792
CABERGOLINE,1679,4629849
HEPARIN SODIUM,2562,4607592
MYFORTIC,264,4590880
OPDIVO,25,4532000
DIOVAN HCT,1329,4529824
PEG 3350-ELECTROLYTE,5929,4518255
COSOPT PF,1336,4516996
TESTIM,518,4512784
FLUPHENAZINE HCL,8629,4478629
GENOTROPIN,151,4476711
NAFTIN,462,4451692
FRAGMIN,152,4438272
MEROPENEM,1140,4432645
GAVILYTE-N,4180,4395520
BETOPTIC S,780,4390816
ZYVOX,92,4385926
SULFASALAZINE DR,2539,4373633
CEFPODOXIME PROXETIL,2234,4342486
AZASITE,890,4327293
DESIPRAMINE HCL,2899,4308338
LUNESTA,832,4301520
ITRACONAZOLE,491,4286352
SURE COMFORT,5743,4270906
CARBATROL,1145,4268837
GLYBURIDE-METFORMIN HCL,9143,4243914
HORIZANT,530,4235376
REGRANEX,176,4231094
EMSAM,216,4213709
DILTIAZEM 12HR ER,2584,4213538
ETODOLAC ER,1425,4160246
XALATAN,1380,4159124
HUMATROPE,127,4126493
UNIFINE PENTIPS,7324,4122991
IMIPRAMINE HCL,9862,4093016
MISOPROSTOL,3284,3996214
XANAX,861,3995919
CARIMUNE NF NANOFILTERED,32,3978675
SANDOSTATIN LAR,50,3966487
CYCLOSPORINE MODIFIED,1260,3959644
ALIMTA,44,3937567
SAIZEN,28,3936429
INVIRASE,230,3934041
NAPROXEN SODIUM,5027,3928102
PERFOROMIST,409,3923524
GABITRIL,425,3920969
MIRAPEX ER,393,3914882
TIMOPTIC OCUDOSE,418,3885982
ALCOHOL PADS,3814,3885640
AMBIEN CR,787,3881901
COSENTYX PEN (2 PENS),40,3879864
SODIUM CHLORIDE,6470,3867481
HYDROCODONE-IBUPROFEN,4853,3848533
DEXTROAMPHETAMINE SULFATE,1478,3819097
BIVIGAM,14,3777022
SANCUSO,153,3776178
OLANZAPINE-FLUOXETINE HCL,629,3772845
FUZEON,87,3761780
RAYOS,84,3756297
INTRALIPID,428,3723272
CEFEPIME HCL,1144,3697040
ADDERALL XR,694,3615626
DIHYDROERGOTAMINE MESYLATE,93,3605738
AXIRON,376,3561559
RISEDRONATE SODIUM DR,763,3558872
PICATO,244,3558214
ANAGRELIDE HCL,1383,3553411
MEGACE ES,220,3550420
SINGULAIR,1167,3546981
CARDIZEM CD,223,3518718
VIVITROL,148,3518024
PENICILLIN V POTASSIUM,15704,3511665
OXANDROLONE,211,3504162
E.E.S. 200,220,3492630
AURYXIA,193,3481650
OSENI,480,3477448
ANDRODERM,587,3443665
ARMOUR THYROID,5888,3432856
ORACEA,323,3395668
THIORIDAZINE HCL,4004,3381621
VIVELLE-DOT,1555,3372198
SANDOSTATIN LAR DEPOT,40,3371512
LOXAPINE,3132,3364663
RIBAVIRIN,748,3357146
FOSINOPRIL SODIUM,13002,3347508
TETRABENAZINE,28,3321849
TRIMETHOPRIM,6900,3319360
ALVESCO,533,3316824
NORVASC,1509,3273719
RUCONEST,3,3262024
KINERET,65,3250880
FLUVOXAMINE MALEATE ER,586,3190795
TRIAZOLAM,4447,3178040
VERAPAMIL ER PM,2705,3144681
COMETRIQ,20,3133586
ZAVESCA,10,3125059
VGO 40,491,3109470
NALTREXONE HCL,2750,3101116
ALDURAZYME,4,3090450
TEFLARO,124,3045755
OXAZEPAM,3167,3038260
LAMIVUDINE HBV,527,3036849
KLOR-CON 8,4864,3034460
MEXILETINE HCL,1483,3001291
ADEFOVIR DIPIVOXIL,258,2973047
LEVALBUTEROL HCL,1071,2951913
ULTICARE,3692,2928965
MIACALCIN,51,2910767
TYGACIL,138,2895264
OXTELLAR XR,299,2893036
RIBASPHERE RIBAPAK,142,2887420
SULINDAC,6349,2869825
PROCHLORPERAZINE MALEATE,14354,2861137
TRAVOPROST,900,2844285
GAVILYTE-G,4567,2829297
MINOXIDIL,7840,2826941
NPLATE,26,2816993
TIROSINT,1047,2792927
AUTOSHIELD DUO PEN NEEDLE,2112,2788628
LIDOCAINE HCL,7114,2775852
ZALEPLON,4903,2725294
OMNITROPE,125,2705068
LAZANDA,13,2681938
LAMICTAL ODT,254,2668680
ZYPREXA ZYDIS,172,2662558
FASLODEX,83,2661977
DANTROLENE SODIUM,1575,2654780
CERDELGA,6,2648323
PLEGRIDY,38,2633182
ELAPRASE,2,2626028
DESLORATADINE,3328,2621641
EXFORGE HCT,688,2618527
SPS,2004,2585420
OCTREOTIDE ACETATE,259,2579775
ZOHYDRO ER,298,2576352
LESCOL XL,656,2551977
TRIHEXYPHENIDYL HCL,9454,2550274
CYPROHEPTADINE HCL,3428,2541351
FAMCICLOVIR,2395,2535421
ZELAPAR,53,2533681
ZOLOFT,665,2524876
BUTALB-CAFF-ACETAMINOPH-CODEIN,1766,2522165
BUTORPHANOL TARTRATE,1487,2500332
NOVOFINE,3013,2496701
RIFAMPIN,2135,2490557
TEKTURNA HCT,956,2489254
DIBENZYLINE,18,2460410
CYCLOSET,274,2456701
PINDOLOL,1901,2451184
BELSOMRA,584,2450097
ARICEPT,394,2448364
ROXICODONE,119,2446059
NESINA,378,2425086
NEOMYCIN-POLYMYXIN-HYDROCORT,3997,2415540
CLINISOL,355,2413954
LASTACAFT,669,2409851
NORCO,436,2406437
KIONEX,1835,2354967
EPITOL,2736,2341948
QUINAPRIL-HYDROCHLOROTHIAZIDE,3405,2335210
FROVA,213,2333364
NITROGLYCERIN,635,2333067
ETHAMBUTOL HCL,1570,2332937
LANOXIN,1359,2332473
TRICOR,930,2329831
DICLOFENAC SODIUM ER,3964,2292760
TERBINAFINE HCL,10835,2283807
VALIUM,401,2266104
PAZEO,491,2255126
ERBITUX,14,2250091
ELELYSO,5,2247401
HYQVIA,27,2247319
AMRIX,148,2237689
ATOVAQUONE-PROGUANIL HCL,530,2236223
BUTALBITAL COMPOUND-CODEINE,977,2232607
PIPERACILLIN-TAZOBACTAM,667,2220291
LEUCOVORIN CALCIUM,1699,2212665
IMITREX,195,2212350
NUTROPIN AQ NUSPIN,58,2209711
LEVOCARNITINE,1366,2205740
VERAPAMIL SR,2972,2196829
LEUKERAN,300,2195620
CHOLESTYRAMINE LIGHT,1549,2190399
PEGASYS,41,2184097
MS CONTIN,135,2182795
TREXIMET,183,2182732
APLENZIN,74,2179466
FLUVASTATIN SODIUM,1030,2176502
GAMMAGARD S-D,21,2175208
TOBI PODHALER,18,2174842
ZOVIRAX,165,2174326
OXYTROL,345,2169030
APTIVUS,111,2162530
PERJETA,26,2154350
NEFAZODONE HCL,1553,2137174
GAVILYTE-C,2196,2124612
DAPSONE,2567,2117611
FORTAMET,64,2109712
QNASL,639,2105514
DEPAKOTE SPRINKLE,351,2102226
PANCREAZE,256,2096005
KYNAMRO,6,2077702
ENULOSE,3552,2076401
KERYDIN,108,2070961
POTIGA,141,2053484
LODOSYN,63,2050656
NEORAL,276,2031281
SIMCOR,549,2016407
LUCENTIS,28,2009323
PREPOPIK,693,2008601
EPOGEN,219,1994660
INDERAL LA,226,1992798
PROPYLTHIOURACIL,2085,1982601
VIRAMUNE XR,169,1965599
CLOBETASOL EMOLLIENT,654,1965179
ESTRADIOL-NORETHINDRONE ACETAT,932,1932908
ZOLINZA,17,1932031
PHENAZOPYRIDINE HCL,1846,1929341
CROMOLYN SODIUM,1518,1927810
PULMICORT,172,1923906
ZOCOR,513,1916013
DILAUDID,240,1890616
DIFLUNISAL,982,1884714
DETROL LA,532,1874497
TRANYLCYPROMINE SULFATE,425,1869999
SODIUM POLYSTYRENE SULFONATE,1088,1867487
OPIUM TINCTURE,202,1858495
INTRON A,76,1850534
LEVOXYL,2469,1847126
LEVORPHANOL TARTRATE,76,1844032
DIFLORASONE DIACETATE,231,1837591
THEO-24,1024,1833488
ZOMIG,179,1822420
ABRAXANE,22,1821213
ALOXI,58,1817748
MICARDIS,702,1807929
ERYPED 200,121,1803771
BUTALBITAL-ASPIRIN-CAFFEINE,1645,1801066
NAMZARIC,342,1793826
SYLATRON,17,1760903
PRANDIN,184,1749306
PERPHENAZINE-AMITRIPTYLINE,1674,1742098
FLUNISOLIDE,1588,1738426
NEOMYCIN-POLYMYXIN-HC,2523,1722551
NEVIRAPINE,1095,1702557
TERBUTALINE SULFATE,411,1695126
REMODULIN,6,1690321
LEVOBUNOLOL HCL,2688,1685978
LEVEMIR FLEXPEN,286,1678106
PLAQUENIL,276,1678028
SUMAVEL DOSEPRO,79,1677067
PREVALITE,1130,1672652
VGO 30,298,1646567
VGO 20,274,1646206
EASY TOUCH PEN NEEDLE,3063,1625693
KEYTRUDA,9,1625187
DEXEDRINE,77,1625027
MINIVELLE,680,1624318
PRED FORTE,269,1615216
BETIMOL,704,1614136
TRIZIVIR,73,1614043
ENALAPRIL-HYDROCHLOROTHIAZIDE,6598,1600905
CEFPROZIL,1400,1585864
DEXTROSE IN WATER,1134,1585163
CARAC,43,1581216
CYCLOPHOSPHAMIDE,173,1575797
GELNIQUE,322,1569970
ZOLEDRONIC ACID,154,1567339
AMILORIDE HCL,2233,1561811
MOVANTIK,366,1554549
MILRINONE LACTATE,57,1548292
TERCONAZOLE,2086,1534010
MATZIM LA,1186,1528239
TENORMIN,372,1524750
PENTAZOCINE-NALOXONE HCL,513,1523635
MYCAMINE,70,1510781
DOCETAXEL,47,1510515
SALSALATE,521,1508232
NICOTROL,323,1497608
ACTIQ,7,1495322
SSD,3161,1488569
COZAAR,800,1475197
CEFADROXIL,4524,1472840
PAXIL,460,1470460
KRISTALOSE,267,1470321
EPINASTINE HCL,796,1462039
GENERLAC,4069,1461222
CYCLOSPORINE,275,1454360
OXALIPLATIN,46,1453892
SIMPONI ARIA,15,1453020
NIASPAN,382,1452701
ALBENZA,13,1446848
NARATRIPTAN HCL,1163,1440742
BUPHENYL,10,1439669
SPORANOX,46,1437723
PROBENECID,2502,1428415
DENAVIR,117,1422768
VIMIZIM,1,1416815
LOTREL,451,1415156
ILARIS,5,1409580
NICOTROL NS,218,1399037
SUMATRIPTAN,334,1397064
METOPROLOL-HYDROCHLOROTHIAZIDE,1839,1390481
ORPHENADRINE CITRATE,2173,1379021
DYRENIUM,355,1377156
POLYMYXIN B SUL-TRIMETHOPRIM,2953,1369084
COSOPT,383,1363569
ISOSORBIDE MONONITRATE,5762,1355483
HYSINGLA ER,193,1351903
FEMARA,139,1351015
REXULTI,91,1348426
MICARDIS HCT,500,1340091
ACAMPROSATE CALCIUM,587,1339887
ZYMAXID,163,1321815
THEOPHYLLINE,1410,1316352
ZYLET,222,1296311
STIOLTO RESPIMAT,202,1292108
EQUETRO,251,1287129
DIPENTUM,81,1284726
MESALAMINE,286,1277438
MONUROL,353,1268928
TRANDOLAPRIL,3854,1265064
AVAPRO,569,1262550
ZOLMITRIPTAN,715,1261233
ALINIA,62,1259743
ZIRGAN,242,1253141
CANDESARTAN-HYDROCHLOROTHIAZID,884,1245159
CIMETIDINE,2737,1245146
ALCLOMETASONE DIPROPIONATE,673,1221079
COMBIVIR,98,1219470
VICODIN ES,593,1218672
CAMBIA,130,1216263
MEPRON,50,1214603
TOBRAMYCIN,3283,1209862
DONEPEZIL HCL ODT,1739,1207039
ERY-TAB,260,1205114
RYTHMOL SR,144,1203330
ESTAZOLAM,1223,1195651
RIFABUTIN,134,1193980
ADAGEN,1,1193562
BETAXOLOL HCL,818,1192044
DIDANOSINE,328,1184002
MEPROBAMATE,369,1181101
VERSACLOZ,33,1172584
CYRAMZA,11,1172356
HYDROCORTISONE BUTYRATE,434,1170487
PIOGLITAZONE-GLIMEPIRIDE,202,1166480
ERYPED 400,61,1163520
CALCIPOTRIENE-BETAMETHASONE DP,92,1158861
CLIMARA,620,1153923
ARCAPTA NEOHALER,258,1152267
TYVASO,6,1147983
PEG-3350 AND ELECTROLYTES,2801,1146473
TACLONEX,65,1146430
ZORVOLEX,282,1144145
VASOTEC,101,1124823
ETHOSUXIMIDE,571,1118602
PROBENECID-COLCHICINE,1456,1107012
GENGRAF,285,1106270
COLISTIMETHATE,97,1102077
WELLBUTRIN SR,255,1101561
ASCOMP WITH CODEINE,545,1098703
COREG,367,1098585
FORTICAL,929,1091845
COMBIPATCH,500,1090961
ARIMIDEX,147,1088811
ACTOS,175,1087467
METHYLPHENIDATE LA,443,1086700
ACEBUTOLOL HCL,3093,1081689
OTREXUP,98,1080090
UROXATRAL,138,1078711
MIGRANAL,25,1074283
PRAMIPEXOLE ER,128,1065430
FLEBOGAMMA DIF,15,1065005
TREANDA,9,1064190
DIFICID,21,1063450
VALTREX,185,1063155
HYZAAR,511,1055546
ERYTHROCIN STEARATE,165,1051773
INCRUSE ELLIPTA,223,1045514
NAFCILLIN SODIUM,104,1044518
NORETHINDRONE ACETATE,959,1042168
QUININE SULFATE,395,1039944
IMIPRAMINE PAMOATE,246,1024453
AZACITIDINE,15,1023202
CYSTADANE,29,1019367
ZUBSOLV,170,1018280
KLOR-CON,360,1016972
MOEXIPRIL HCL,1671,1013400
RIBASPHERE,318,1012225
MOXEZA,140,1011394
ARESTIN,19,1008266
QUINIDINE GLUCONATE,175,1001568
NICARDIPINE HCL,397,1000698
OXISTAT,102,986889
CANCIDAS,19,980590
FLUOCINONIDE-E,400,974787
DEPAKENE,100,972799
EASY COMFORT PEN NEEDLES,903,970343
METHSCOPOLAMINE BROMIDE,361,965987
INDOMETHACIN,3001,963487
LACRISERT,124,954188
ALPRAZOLAM ER,1747,946160
GUANFACINE HCL ER,356,943141
METHYLERGONOVINE MALEATE,25,932370
FARESTON,51,928275
ADVICOR,253,921405
VICODIN,689,920114
PRILOSEC,178,919237
CHLORZOXAZONE,1615,918938
HUMIRA PEN PSORIASIS,11,917754
FARYDAK,9,914815
CLARITHROMYCIN ER,601,909780
KAZANO,150,909663
MAXALT,105,909404
ANTARA,127,897398
EVZIO,58,897363
ADDERALL,163,884082
DANAZOL,241,878510
KADCYLA,8,876568
DEMSER,3,872702
REQUIP XL,136,872418
RIDAURA,45,870425
PAXIL CR,326,869676
VERAMYST,343,866282
VICODIN HP,278,857108
IMIPENEM-CILASTATIN SODIUM,264,855657
LINEZOLID,48,855362
PULMOZYME,16,843903
SANDOSTATIN,10,832413
SODIUM BICARBONATE,678,831307
ZESTRIL,228,829211
ULTRAM,193,828913
PEN NEEDLE,2760,827748
BUPRENEX,23,825013
TAZORAC,104,819298
GLYSET,236,813457
ARIXTRA,16,811083
SOTALOL AF,1983,807116
CAPTOPRIL-HYDROCHLOROTHIAZIDE,656,805122
CONCERTA,175,802176
CORDRAN,114,799879
ENTYVIO,12,799803
SOLARAZE,21,794336
ZYCLARA,38,793944
NITRO-DUR,388,792093
GEMCITABINE HCL,50,787710
CATAPRES-TTS 3,131,786644
SYMLINPEN 60,69,783353
MIRAPEX,147,782928
ATACAND,469,778596
DEXAMETHASONE SODIUM PHOSPHATE,1167,772102
ENTOCORT EC,37,770742
COMFORT EZ,756,769562
CEFAZOLIN SODIUM,643,765419
ZIPSOR,92,764516
HALOPERIDOL LACTATE,1341,759425
STAXYN,75,757750
PEXEVA,127,756070
ISRADIPINE,519,750610
PROMETHEGAN,207,750399
DEPEN,16,745155
HYDROCORTISONE-ACETIC ACID,364,730756
AROMASIN,75,730149
PHENYTEK,747,729465
AMILORIDE-HYDROCHLOROTHIAZIDE,2321,723459
SIGNIFOR,5,722504
STALEVO 100,76,717420
BUTALB-ACETAMINOPH-CAFF-CODEIN,142,713143
PROTRIPTYLINE HCL,298,710470
TOBRAMYCIN SULFATE,264,707416
GLUCOPHAGE,458,705169
DISOPYRAMIDE PHOSPHATE,643,703405
FULYZAQ,74,702917
PEN NEEDLES,1390,702437
ENTRESTO,94,699674
PATANASE,151,697805
METHYLPHENIDATE HCL CD,260,697438
SUCRAID,6,695238
CELEXA,222,695199
BONIVA,190,692062
CLINDAMYCIN-BENZOYL PEROXIDE,148,691977
CYTOMEL,482,691414
SYNRIBO,8,689687
LEVITRA,167,688158
MONOJECT INSULIN SYRINGE,1010,686243
NOVOTWIST,749,683599
ZOSYN,148,682037
FIORINAL WITH CODEINE #3,61,680859
NALBUPHINE HCL,131,680600
DESVENLAFAXINE ER,252,679778
ALOSETRON HCL,31,677307
VECTIBIX,7,670989
ANADROL-50,10,670120
ATROPINE SULFATE,1196,669343
MEPERIDINE HCL,702,667918
NATPARA,6,667918
SULFACETAMIDE SODIUM,804,661658
TETRACYCLINE HCL,145,658201
CODEINE SULFATE,639,654560
CYSTARAN,13,652662
TWINRIX,132,649459
DDAVP,40,649337
SOMA,56,649037
CHLORDIAZEPOXIDE-AMITRIPTYLINE,589,645500
SODIUM PHENYLBUTYRATE,4,643597
EPIVIR,269,643195
ERYTHROMYCIN-BENZOYL PEROXIDE,304,643021
PAMELOR,31,640667
ACETYLCYSTEINE,627,636074
CARDIZEM LA,320,634110
MENEST,808,633798
ALTACE,280,632560
NIMODIPINE,21,632329
ORAP,325,626974
INNOPRAN XL,82,624431
SANDIMMUNE,86,622216
GUANFACINE HCL,3003,621903
TRILIPIX,215,621399
DISULFIRAM,488,619262
AMPICILLIN SODIUM,237,618327
METHOXSALEN,15,618014
SINEMET 25-100,172,617542
MARINOL,21,617390
NIZATIDINE,1454,607940
MAXALT MLT,99,607814
DIPYRIDAMOLE,1598,607456
SINGLE USE SWAB,6066,605250
MIGERGOT,46,604922
KLONOPIN,233,603707
ANAFRANIL,20,602050
HEPSERA,41,599620
CATAPRES-TTS 2,128,598280
METHAMPHETAMINE HCL,52,597461
NULOJIX,18,596843
AFEDITAB CR,1253,591987
ZIAGEN,86,589085
LITHOBID,109,583696
MIMVEY,360,582140
PROAIR RESPICLICK,477,577775
SUPRAX,130,577498
OSMOPREP,149,575382
AZTREONAM,56,571610
HALOG,37,571423
AMIKACIN SULFATE,369,567336
FOCALIN XR,113,564041
EASY TOUCH,1330,558044
LIDOCAINE HCL VISCOUS,2968,547962
STALEVO 150,65,541547
SORIATANE,32,537484
GRISEOFULVIN ULTRAMICROSIZE,96,537023
DEXMETHYLPHENIDATE HCL ER,174,535669
AMPICILLIN-SULBACTAM,268,534958
SAVAYSA,108,532245
VITAMIN D2,1663,531488
OMNARIS,164,524283
RITALIN LA,116,522645
PARNATE,34,520184
EMBEDA,47,518070
FIRMAGON,34,515882
SIVEXTRO,8,513284
ZETONNA,164,512168
RIOMET,136,510114
ZYFLO,16,509894
CADUET,134,508162
PROCARDIA XL,194,508067
ISORDIL,48,506273
FLUOXETINE DR,251,505655
ELIPHOS,147,503673
ALTOPREV,75,500848
LIPOFEN,176,500739
PHENELZINE SULFATE,458,495453
PRED MILD,148,490972
CEFEPIME,120,489935
REQUIP,95,488334
DEPO-TESTOSTERONE,568,487680
OXACILLIN SODIUM,52,484500
NEOMYCIN SULFATE,1102,483231
CEFTAZIDIME,215,482482
BICILLIN L-A,79,482303
PACERONE,431,481109
AMOXICILLIN-CLAVULANATE POT ER,251,478467
ASTEPRO,174,472500
CLICKFINE,1294,466095
VECTICAL,140,463926
EVOXAC,83,463642
STALEVO 200,53,460964
FLUTAMIDE,253,454458
ACTOPLUS MET XR,66,454442
AVALIDE,185,453636
TRUEPLUS INSULIN SYRINGE,1126,448309
ARCALYST,2,447517
MONOJECT INSULIN SAFETY SYRNG,493,447085
PANCRELIPASE 5,000,289,446808
ACETIC ACID,1009,445613
TARKA,207,443843
OPANA,25,440360
EDLUAR,93,439515
ZIDOVUDINE,649,439256
HAVRIX,139,435732
TRAVASOL,97,435632
NALOXONE HCL,80,434088
FLURAZEPAM HCL,1336,433264
DIPHENHYDRAMINE HCL,781,432526
NAPRELAN,35,426917
PHOSLYRA,130,425477
LORZONE,59,424221
ZOFRAN,15,423997
NITROLINGUAL,61,423160
BINOSTO,100,420712
PROGLYCEM,34,420271
CRIXIVAN,72,419551
IVERMECTIN,515,419394
SELENIUM SULFIDE,1233,419148
CLONIDINE HCL ER,102,417037
LAMOTRIGINE ODT,60,415329
FOSAMAX PLUS D,208,414612
METHOTREXATE SODIUM,1247,412267
CLARINEX,161,411942
ZANTAC,83,411811
FML FORTE,174,410936
AMPICILLIN TRIHYDRATE,2735,410460
HECTOROL,37,410317
FOSINOPRIL-HYDROCHLOROTHIAZIDE,646,410079
DICLOXACILLIN SODIUM,672,408392
RESTORIL,53,408041
FIORICET,78,408016
EURAX,47,406967
COMTAN,48,406227
GENVOYA,10,405775
TOPIRAMATE ER,52,404650
SKELAXIN,61,401446
LORAZEPAM INTENSOL,608,399751
AXERT,57,399198
DIVIGEL,191,397412
BETAPACE,46,395156
STAVUDINE,279,395152
CELONTIN,131,394151
PROLEUKIN,3,393613
TOLCAPONE,3,393444
FLURBIPROFEN,724,393419
PROTOPIC,34,393117
FEMRING,64,389227
GLUCOPHAGE XR,277,386867
GRANISETRON HCL,116,378864
TYPHIM VI,96,376623
RISPERDAL M-TAB,34,376311
JINTELI,349,375864
FLAVOXATE HCL,355,374707
PERINDOPRIL ERBUMINE,670,373431
INTUNIV,79,370639
PHENADOZ,149,370374
PINNACAINE,5,368762
FORFIVO XL,94,368681
PRAVACHOL,130,368554
DECITABINE,3,366788
YERVOY,1,362638
FOLIC ACID,2336,361914
CALAN SR,137,360630
GLYXAMBI,43,357994
IRINOTECAN HCL,29,353133
TOBRADEX ST,101,351013
ZEMPLAR,69,349468
SULAR,51,349148
REMERON,160,348165
CILOXAN,111,347905
PRENATAL PLUS,1371,346141
CEFACLOR,262,345875
RITALIN,194,345823
OXYCODONE HCL-ASPIRIN,293,344966
PHOSPHA 250 NEUTRAL,569,344590
ABILIFY DISCMELT,24,344105
FLURBIPROFEN SODIUM,432,344084
XIGDUO XR,62,343175
NUTROPIN AQ,18,339672
BUPAP,30,338749
NAPHAZOLINE HCL,534,338668
COSENTYX (2 SYRINGES),3,334836
CHLORDIAZEPOXIDE HCL,2414,333747
AMARYL,176,333549
SYMBYAX,47,332253
TESTRED,2,331079
RILUTEK,12,330641
ROCALTROL,194,328323
METHYLDOPA,1210,323217
NUVARING,223,322990
NAPROXEN SODIUM CR,11,321096
ZONTIVITY,54,320683
CORTIFOAM,35,319864
RETIN-A,231,318060
ANZEMET,5,315802
AMOXAPINE,417,315497
BECONASE AQ,89,314814
RENACIDIN,236,311704
SURMONTIL,58,306171
PYRIDOSTIGMINE BROMIDE ER,24,305019
DEXTROSE 5%-0.45% NACL,854,302015
ESTROPIPATE,1050,294288
MITOMYCIN,12,293951
VIRAMUNE,32,293224
DIASTAT ACUDIAL,26,292014
CORLANOR,45,291368
ZOLMITRIPTAN ODT,155,289757
SULFADIAZINE,50,289045
MOBIC,73,288315
NIFEDIPINE,261,287855
BRISDELLE,126,287674
ARTHROTEC 75,80,287105
CEFOXITIN,64,286415
ARAVA,17,285247
ROBAXIN,5,282528
RASUVO,28,281340
REPATHA SURECLICK,12,281083
STALEVO 125,36,280588
UNIFINE PENTIPS PLUS,617,280320
VIOKACE,19,275712
BACITRACIN-POLYMYXIN,522,273105
SINEMET CR,83,271434
TELMISARTAN-AMLODIPINE,146,269526
XULANE,197,268195
ZANAFLEX,61,267019
CONSTULOSE,539,265170
LONSURF,3,264844
BUTALBITAL-ACETAMINOPHEN,272,264338
CLIMARA PRO,135,264276
ABELCET,12,262920
ERYTHROMYCIN ETHYLSUCCINATE,56,261057
HYOSCYAMINE SULFATE,380,258656
POLYMYXIN B SULFATE,118,258166
PROSCAR,108,257416
ATACAND HCT,150,257412
DEXMETHYLPHENIDATE HCL,246,257239
AMINOCAPROIC ACID,31,253285
UNITHROID,330,252381
HUMALOG KWIKPEN U-200,17,251781
GRANIX,9,251506
PROCHLORPERAZINE,143,249647
DEMEROL,150,248922
CLOBEX,21,247545
ORTHO TRI-CYCLEN LO,145,247473
ZORBTIVE,1,245515
ULTRA COMFORT,771,245226
PHOSPHOLINE IODIDE,86,244867
GLYBURIDE MICRONIZED,1160,243690
INTERMEZZO,69,243624
ZOLADEX,14,243364
JEVTANA,2,241285
BETAPACE AF,34,239431
TRILYTE WITH FLAVOR PACKETS,569,239156
PYLERA,25,235179
DAYTRANA,58,235021
ACCUPRIL,152,233584
ZERBAXA,14,233254
FUSILEV,5,232494
TORISEL,3,231374
RIMSO-50,21,231276
LASIX,437,230938
PROMETHAZINE VC,246,230408
CUVPOSA,32,228160
DESOXYN,15,227522
WATER,461,227395
PREVIDENT,879,226804
IMURAN,49,226556
ULTRACET,62,226129
AFREZZA,34,224617
MOZOBIL,1,223898
FIORICET WITH CODEINE,20,223843
KENALOG-40,492,223327
PREDNISOLONE SODIUM PHOSPHATE,237,223112
VENTAVIS,1,221826
BUNAVAIL,33,221613
MODERIBA,13,221500
ADAPALENE,80,221295
XEOMIN,6,220717
TRIMETHOBENZAMIDE HCL,170,220634
DUAVEE,90,220360
DERMASILKRX SDS,3,219953
